Temperatur;Heat high [MWh/m2];Heat Medium (bu6);Heat Low;Base demand;Wind Onshore;Wind Offshore;PV;WW
6.6;4.65254E-05;2.74103E-05;0;64615.71331;0.4344;0.814;0.3395;0.00000227
6.6;4.65242E-05;2.72984E-05;0;63493.94844;0.445;0.8378;0.3126;0.00000135
8.6;4.0766E-05;2.50097E-05;0;62365.94844;0.4453;0.8266;0.2577;0.00000135
6.7;4.3621E-05;2.27353E-05;0;62030.66175;0.422;0.7876;0.1716;0.00000362
7.5;3.85061E-05;2.02082E-05;0;62071.80905;0.391;0.6922;0.0806;0.000005
5.6;4.46921E-05;2.20739E-05;0;61675.04418;0.3504;0.5962;0.0132;0.00000408
3.7;4.85057E-05;2.40213E-05;0;61527.66175;0.3528;0.572;0.0001;0.00000362
2.3;5.49807E-05;2.89842E-05;0;58481.94844;0.4139;0.4998;0;0.00000135
1.1;5.67974E-05;2.93229E-05;0;55060.94844;0.444;0.5987;0;0.00000135
1.7;1.80374E-05;0;0;46062.08439;0.4534;0.653;0;0.00000135
2.9;2.58856E-05;6.44968E-06;0;43051.92563;0.4395;0.769;0;0.00000027
4.8;1.82993E-05;7.69571E-07;0;40785.92563;0.4223;0.8486;0;0.00000027
6.2;2.16677E-05;3.42995E-06;0;39854.92563;0.3961;0.8394;0;0.00000027
7.3;2.06671E-05;2.99652E-06;0;40792.92563;0.3748;0.86;0;0.00000027
7;2.17133E-05;3.86519E-06;0;42493.92563;0.3356;0.8601;0;0.00000027
6.9;2.2388E-05;4.44564E-06;0;45811.92563;0.3051;0.8583;0;0.00000027
6.3;6.29033E-05;3.47346E-05;0;53269.92563;0.2847;0.8461;0.001;0.00000027
6.5;5.42341E-05;2.8436E-05;0;62090.71331;0.2633;0.8523;0.0263;0.00000227
9.6;4.41366E-05;2.25915E-05;0;64311.42661;0.2614;0.8556;0.0923;0.00000454
8.9;4.9373E-05;2.66001E-05;0;65058.71331;0.2979;0.8578;0.1632;0.00000227
11.6;3.93352E-05;2.34846E-05;0;63444.94844;0.3373;0.8596;0.2274;0.00000135
10.5;4.15725E-05;2.39241E-05;0;67533.94844;0.3626;0.86;0.2734;0.00000135
11.3;3.71146E-05;2.13615E-05;0;66914.66175;0.3686;0.8542;0.2905;0.00000362
12.3;3.48089E-05;1.88033E-05;0;66183.42661;0.3563;0.8456;0.2989;0.00000454
7.7;4.40916E-05;2.49278E-05;0;64954.71331;0.3488;0.846;0.298;0.00000227
10.1;3.65498E-05;2.26637E-05;0;64045.94844;0.3424;0.8286;0.2769;0.00000135
10;3.65646E-05;2.25281E-05;0;62081.94844;0.3235;0.8323;0.2316;0.00000135
11.1;3.00369E-05;1.71757E-05;0;61139.66175;0.2891;0.8369;0.1594;0.00000362
9.5;3.36681E-05;1.70363E-05;0;60764.80905;0.2411;0.8322;0.0755;0.000005
7;3.90336E-05;1.94485E-05;0;60206.04418;0.1829;0.7838;0.0143;0.00000408
5.4;4.23164E-05;2.11529E-05;0;59975.66175;0.1732;0.7836;0.0002;0.00000362
4.9;4.74427E-05;2.52393E-05;0;57748.94844;0.1745;0.6975;0;0.00000135
4.2;4.84253E-05;2.50709E-05;0;54176.94844;0.1776;0.5976;0;0.00000135
3.6;1.13908E-05;0;0;45345.68089;0.183;0.5056;0;0.00000135
3.7;2.0935E-05;4.34311E-06;0;42083.52213;0.1896;0.3542;0;0.00000027
3.8;1.7118E-05;1.21382E-06;0;40272.52213;0.1801;0.3076;0;0.00000027
3.2;2.42443E-05;6.04189E-06;0;39392.52213;0.1744;0.3043;0;0.00000027
3.2;2.56586E-05;6.82033E-06;0;40224.52213;0.169;0.3089;0;0.00000027
3.1;2.69106E-05;7.45392E-06;0;41986.52213;0.1644;0.3213;0;0.00000027
3;2.82429E-05;8.21976E-06;0;45172.52213;0.1461;0.2986;0;0.00000027
2.9;6.80279E-05;3.76713E-05;0;52875.52213;0.1244;0.2762;0.0012;0.00000027
3.3;5.97065E-05;3.14362E-05;0;61680.71331;0.1072;0.2492;0.0294;0.00000227
3.9;5.46206E-05;2.84194E-05;0;63082.42661;0.085;0.2211;0.1124;0.00000454
4.9;5.51533E-05;3.0817E-05;0;63130.71331;0.0672;0.2058;0.2209;0.00000227
6;5.18296E-05;2.92628E-05;0;63899.94844;0.0758;0.1768;0.3138;0.00000135
6.4;4.95108E-05;2.84959E-05;0;65603.94844;0.086;0.1859;0.3809;0.00000135
6.6;4.75659E-05;2.65809E-05;0;65523.66175;0.0847;0.1432;0.3926;0.00000362
6.8;4.50504E-05;2.51117E-05;0;63954.42661;0.079;0.1311;0.3668;0.00000454
8.2;4.32783E-05;2.52275E-05;0;61789.71331;0.074;0.119;0.3292;0.00000227
9.2;4.0059E-05;2.41025E-05;0;60682.94844;0.0639;0.1227;0.2796;0.00000135
8.2;4.34604E-05;2.47123E-05;0;59273.94844;0.0496;0.1448;0.2176;0.00000135
7.4;4.15616E-05;2.12863E-05;0;58625.66175;0.0415;0.1381;0.1419;0.00000362
6.6;4.19375E-05;2.03817E-05;0;58481.80905;0.0313;0.127;0.0706;0.000005
5.4;4.46368E-05;2.1505E-05;0;57920.04418;0.0198;0.1001;0.0148;0.00000408
5.5;4.49749E-05;2.13471E-05;0;57682.66175;0.0161;0.0755;0.0002;0.00000362
4.9;4.98542E-05;2.54278E-05;0;55465.94844;0.018;0.0556;0;0.00000135
3.3;5.19435E-05;2.61056E-05;0;51837.94844;0.022;0.0452;0;0.00000135
3.2;1.39455E-05;0;0;43085.12334;0.0266;0.0542;0;0.00000135
2.9;2.38796E-05;5.18162E-06;0;39611.96459;0.0286;0.0538;0;0.00000027
2.4;2.10062E-05;2.75186E-06;0;37281.96459;0.0306;0.0738;0;0.00000027
1.3;2.88339E-05;8.03298E-06;0;36286.96459;0.0298;0.0643;0;0.00000027
0.4;3.2156E-05;1.01352E-05;0;36239.96459;0.0277;0.0596;0;0.00000027
0.3;3.38481E-05;1.10105E-05;0;36644.96459;0.0253;0.0396;0;0.00000027
-0.6;3.67084E-05;1.26333E-05;0;37399.96459;0.022;0.0246;0;0.00000027
-0.9;7.71229E-05;4.24396E-05;0;38512.96459;0.0223;0.0279;0.0016;0.00000027
-0.2;6.8534E-05;3.58569E-05;0;45895.71331;0.0266;0.0346;0.035;0.00000227
2.4;5.9162E-05;3.06476E-05;0;49455.42661;0.0264;0.0388;0.1278;0.00000454
4.1;5.9198E-05;3.22981E-05;0;52328.71331;0.0156;0.0461;0.2404;0.00000227
5.2;5.61909E-05;3.06006E-05;0;53620.94844;0.014;0.0642;0.3372;0.00000135
6.6;5.05023E-05;2.8664E-05;0;53783.94844;0.0202;0.0964;0.3884;0.00000135
6.6;4.9222E-05;2.68631E-05;0;53181.66175;0.0257;0.1261;0.4031;0.00000362
6.6;4.87419E-05;2.55244E-05;0;51364.42661;0.0239;0.1368;0.3777;0.00000454
7.2;4.94706E-05;2.65049E-05;0;49428.71331;0.0223;0.1351;0.3304;0.00000227
7.9;4.69479E-05;2.574E-05;0;48359.94844;0.0222;0.1359;0.2719;0.00000135
8.3;4.63013E-05;2.49992E-05;0;47867.94844;0.0294;0.1388;0.2032;0.00000135
9;4.05668E-05;2.02676E-05;0;48468.66175;0.0453;0.1684;0.1316;0.00000362
8.4;4.04673E-05;1.90528E-05;0;49476.80905;0.0605;0.2268;0.068;0.000005
7.4;4.30163E-05;1.97732E-05;0;49698.04418;0.0735;0.3143;0.0147;0.00000408
6.9;4.40029E-05;2.01409E-05;0;49384.66175;0.1056;0.4018;0.0002;0.00000362
7.1;4.71768E-05;2.31994E-05;0;47661.94844;0.1408;0.5274;0;0.00000135
6.8;4.68069E-05;2.24616E-05;0;45598.94844;0.1574;0.5803;0;0.00000135
7.1;7.77821E-06;0;0;39113.92036;0.1636;0.632;0;0.00000135
6.8;1.71047E-05;8.93256E-07;0;36196.7616;0.1594;0.6442;0;0.00000027
6.8;1.31E-05;0;0;34036.7616;0.1428;0.6642;0;0.00000027
6.8;1.87046E-05;2.02095E-06;0;32991.7616;0.125;0.6732;0;0.00000027
6;2.08771E-05;3.48886E-06;0;32864.7616;0.1148;0.6755;0;0.00000027
5.7;2.22761E-05;4.4227E-06;0;33564.7616;0.1072;0.671;0;0.00000027
5.2;2.39712E-05;5.52424E-06;0;33794.7616;0.1009;0.6687;0;0.00000027
4.9;6.39791E-05;3.5261E-05;0;33687.7616;0.0978;0.6396;0.0011;0.00000027
4.6;5.66142E-05;2.95094E-05;0;38617.71331;0.0903;0.5893;0.024;0.00000227
5.5;5.10857E-05;2.62539E-05;0;42266.42661;0.0705;0.4852;0.0856;0.00000454
7.1;4.8541E-05;2.80881E-05;0;45237.71331;0.051;0.3803;0.1816;0.00000227
8.3;4.68027E-05;2.63787E-05;0;47698.94844;0.0477;0.3401;0.297;0.00000135
9.3;4.45537E-05;2.47968E-05;0;50000.94844;0.0518;0.2705;0.3956;0.00000135
9.9;4.03854E-05;2.24306E-05;0;49263.66175;0.0538;0.18;0.4503;0.00000362
12.2;3.1447E-05;1.87312E-05;0;47367.42661;0.0591;0.1175;0.4645;0.00000454
12.8;3.2033E-05;1.93889E-05;0;45830.71331;0.0697;0.0971;0.4196;0.00000227
12.9;3.05439E-05;1.91916E-05;0;44534.94844;0.0831;0.145;0.3546;0.00000135
13.2;2.84977E-05;1.85027E-05;0;43814.94844;0.1;0.1763;0.2816;0.00000135
13.8;2.38938E-05;1.37743E-05;0;44641.66175;0.1198;0.1433;0.1922;0.00000362
12.3;2.49895E-05;1.34731E-05;0;46769.80905;0.1394;0.1906;0.0962;0.000005
11.1;2.94708E-05;1.45214E-05;0;47633.04418;0.1455;0.3257;0.0217;0.00000408
9.4;3.28168E-05;1.61916E-05;0;48836.66175;0.1719;0.4558;0.0004;0.00000362
8.7;3.79973E-05;2.03981E-05;0;48406.94844;0.2106;0.6412;0;0.00000135
8.2;3.84641E-05;1.99843E-05;0;47901.94844;0.2193;0.7596;0;0.00000135
7.4;1.53399E-06;0;0;41772.74774;0.2174;0.7421;0;0.00000135
6.7;1.22048E-05;1.80746E-07;0;39013.58898;0.2048;0.708;0;0.00000027
6;9.75235E-06;0;0;37306.58898;0.1952;0.699;0;0.00000027
5.7;1.64082E-05;2.45257E-06;0;36684.58898;0.1948;0.6921;0;0.00000027
6.1;1.70294E-05;2.67285E-06;0;37654.58898;0.1889;0.6684;0;0.00000027
5.5;1.94169E-05;4.15386E-06;0;39920.58898;0.1795;0.6708;0;0.00000027
5.2;2.11606E-05;5.14107E-06;0;44227.58898;0.1752;0.614;0;0.00000027
5;6.1191E-05;3.48498E-05;0;52859.58898;0.1845;0.6012;0.0023;0.00000027
5.6;5.23263E-05;2.82179E-05;0;60621.71331;0.1721;0.6401;0.0461;0.00000227
7.8;4.17698E-05;2.35947E-05;0;63278.42661;0.1404;0.6218;0.1528;0.00000454
10.9;3.75987E-05;2.36846E-05;0;63625.71331;0.133;0.6449;0.2795;0.00000227
13.5;3.10946E-05;2.03717E-05;0;64519.94844;0.1446;0.619;0.3934;0.00000135
13.2;3.38314E-05;2.00246E-05;0;65962.94844;0.1508;0.5503;0.4799;0.00000135
14.3;2.90013E-05;1.68747E-05;0;65224.66175;0.1537;0.5254;0.5297;0.00000362
14.8;2.64401E-05;1.49518E-05;0;64355.42661;0.1613;0.5674;0.541;0.00000454
15;2.73375E-05;1.62392E-05;0;63205.71331;0.1695;0.638;0.5104;0.00000227
15.3;2.61547E-05;1.58218E-05;0;62141.94844;0.1822;0.723;0.4496;0.00000135
15.1;2.61961E-05;1.56587E-05;0;60470.94844;0.1901;0.8001;0.3479;0.00000135
14.8;2.27026E-05;1.18286E-05;0;59664.66175;0.1981;0.8169;0.2184;0.00000362
13.8;2.3366E-05;1.12358E-05;0;59704.80905;0.1991;0.8315;0.0971;0.000005
12.9;2.51067E-05;1.19774E-05;0;60040.04418;0.186;0.8311;0.0198;0.00000408
11.5;2.75242E-05;1.30985E-05;0;59812.66175;0.1884;0.843;0.0004;0.00000362
11.5;3.16138E-05;1.6799E-05;0;57385.94844;0.1834;0.849;0;0.00000135
11.2;3.14945E-05;1.61095E-05;0;53076.94844;0.1678;0.8496;0;0.00000135
11.1;0;0;0;45853.20609;0.1502;0.8453;0;0.00000135
10.7;2.47022E-06;0;0;42397.04733;0.1399;0.8312;0;0.00000027
10;0;0;0;40971.04733;0.1254;0.8097;0;0.00000027
9.6;6.20121E-06;0;0;39976.04733;0.1106;0.8082;0;0.00000027
9.3;7.79495E-06;0;0;40515.04733;0.1072;0.8062;0;0.00000027
9.2;8.87298E-06;0;0;41982.04733;0.1068;0.791;0;0.00000027
9.3;9.66973E-06;0;0;45730.04733;0.1085;0.7826;0;0.00000027
9.2;4.9453E-05;2.85487E-05;0;53622.04733;0.103;0.766;0.0022;0.00000027
9.5;4.11524E-05;2.23117E-05;0;61106.71331;0.0916;0.7472;0.0298;0.00000227
10.6;3.50693E-05;1.89591E-05;0;63622.42661;0.0682;0.6776;0.0889;0.00000454
13.1;3.0744E-05;1.97287E-05;0;63851.71331;0.0484;0.5986;0.1666;0.00000227
14.5;2.57336E-05;1.78894E-05;0;65214.94844;0.0379;0.5187;0.2617;0.00000135
15.5;2.18364E-05;1.62152E-05;0;66098.94844;0.0342;0.4119;0.3449;0.00000135
14;2.71576E-05;1.57508E-05;0;65361.66175;0.0299;0.3294;0.4087;0.00000362
13.6;2.64544E-05;1.49362E-05;0;65065.42661;0.0302;0.2939;0.4478;0.00000454
14.7;2.44114E-05;1.54364E-05;0;64020.71331;0.0336;0.2628;0.4469;0.00000227
14.9;2.35863E-05;1.51907E-05;0;62730.94844;0.0418;0.2511;0.3934;0.00000135
15.6;2.05834E-05;1.43508E-05;0;60858.94844;0.0449;0.2128;0.3052;0.00000135
16.2;1.47476E-05;9.59654E-06;0;59903.66175;0.0501;0.1692;0.2001;0.00000362
14.5;1.82872E-05;9.5351E-06;0;59883.80905;0.0534;0.1299;0.0871;0.000005
12.6;2.24415E-05;1.13662E-05;0;60138.04418;0.0507;0.102;0.0169;0.00000408
11.6;2.4656E-05;1.23337E-05;0;60123.66175;0.0655;0.115;0.0004;0.00000362
10.9;2.98863E-05;1.6576E-05;0;57399.94844;0.0692;0.1083;0;0.00000135
10.5;3.02195E-05;1.60753E-05;0;53423.94844;0.0665;0.118;0;0.00000135
9.9;0;0;0;46454.24211;0.0673;0.0958;0;0.00000135
9.1;3.81007E-06;0;0;42899.08335;0.0672;0.0813;0;0.00000027
9.2;9.00165E-08;0;0;41343.08335;0.0613;0.0734;0;0.00000027
8.4;7.4756E-06;0;0;40638.08335;0.061;0.0624;0;0.00000027
8.8;7.84976E-06;0;0;41536.08335;0.0434;0.0432;0;0.00000027
9.1;8.50187E-06;0;0;43256.08335;0.04;0.0379;0;0.00000027
7.3;1.24382E-05;9.39911E-07;0;47210.08335;0.0451;0.0614;0;0.00000027
7.2;5.24157E-05;3.05614E-05;0;54552.08335;0.0494;0.0867;0.0028;0.00000027
9.1;4.13997E-05;2.25992E-05;0;61069.71331;0.0447;0.1118;0.0389;0.00000227
11.9;3.18476E-05;1.74892E-05;0;63278.42661;0.0323;0.1239;0.1206;0.00000454
14.4;2.78194E-05;1.82785E-05;0;63324.71331;0.0164;0.1015;0.2266;0.00000227
16.7;2.02754E-05;1.52574E-05;0;64580.94844;0.0149;0.0824;0.3266;0.00000135
17.7;1.66263E-05;1.36677E-05;0;66644.94844;0.0194;0.06;0.3874;0.00000135
17.9;1.38165E-05;1.1444E-05;0;66858.66175;0.0228;0.0476;0.3872;0.00000362
19.5;8.28093E-06;8.22255E-06;0;65545.42661;0.0268;0.064;0.337;0.00000454
18.6;1.25529E-05;1.04848E-05;0;63876.71331;0.03;0.0464;0.285;0.00000227
18.6;1.20304E-05;1.02878E-05;0;62642.94844;0.0348;0.0356;0.2278;0.00000135
18.5;1.20388E-05;1.00303E-05;0;61217.94844;0.0435;0.03;0.1602;0.00000135
18.4;8.19E-06;6.13267E-06;0;60816.66175;0.0454;0.0299;0.1058;0.00000362
17.7;8.52248E-06;5.09975E-06;0;60921.80905;0.0494;0.053;0.0583;0.000005
15.8;1.23441E-05;6.87472E-06;0;60724.04418;0.0504;0.0711;0.0144;0.00000408
14.9;1.43759E-05;7.71285E-06;0;60111.66175;0.06;0.0486;0.0004;0.00000362
14.5;1.89104E-05;1.15282E-05;0;57279.94844;0.0648;0.0283;0;0.00000135
13.6;1.98704E-05;1.14783E-05;0;53328.94844;0.0666;0.0176;0;0.00000135
12.9;0;0;0;47142.80283;0.0606;0.0202;0;0.00000135
12.5;0;0;0;44052.64408;0.059;0.0184;0;0.00000027
12.2;0;0;0;42259.64408;0.0604;0.0081;0;0.00000027
11.9;0;0;0;41563.64408;0.0605;0.0094;0;0.00000027
11.4;0;0;0;42158.64408;0.067;0.0098;0;0.00000027
11.1;0;0;0;43738.64408;0.0698;0.018;0;0.00000027
10.5;1.79944E-06;0;0;47279.64408;0.0704;0.0256;0;0.00000027
10.5;4.17215E-05;2.54482E-05;0;54757.64408;0.0678;0.0311;0.0023;0.00000027
11.3;3.2548E-05;1.86678E-05;0;61213.71331;0.0608;0.0272;0.0338;0.00000227
12.5;2.69639E-05;1.5083E-05;0;63452.42661;0.0511;0.0232;0.1082;0.00000454
14.7;2.34984E-05;1.63646E-05;0;64212.71331;0.0448;0.0166;0.2074;0.00000227
17.3;1.55082E-05;1.32083E-05;0;65229.94844;0.0397;0.0178;0.2946;0.00000135
18.9;1.18621E-05;1.09001E-05;0;66438.94844;0.0391;0.0288;0.3698;0.00000135
20.9;4.80321E-06;7.0243E-06;0;65610.66175;0.0432;0.0284;0.4034;0.00000362
21.4;1.2474E-06;4.93682E-06;0;64740.42661;0.0499;0.0289;0.407;0.00000454
21.5;1.52993E-06;6.17469E-06;0;63407.71331;0.0532;0.0393;0.3878;0.00000227
21.8;0;5.67445E-06;0;62447.94844;0.0616;0.0392;0.3528;0.00000135
21.8;0;5.21239E-06;0;60857.94844;0.0646;0.0193;0.2929;0.00000135
21;0;1.84301E-06;0;59847.66175;0.0554;0.0101;0.204;0.00000362
19.6;0;1.46751E-06;0;59701.80905;0.0399;0.0074;0.1068;0.000005
17.3;3.36421E-06;3.71919E-06;0;59515.04418;0.0244;0.0058;0.026;0.00000408
15.3;7.52649E-06;5.77422E-06;0;59604.66175;0.0198;0.0189;0.0007;0.00000362
13.6;1.46542E-05;1.11058E-05;0;57583.94844;0.0225;0.04;0;0.00000135
12.8;1.6007E-05;1.10935E-05;0;53480.94844;0.0374;0.0552;0;0.00000135
12.2;0;0;0;47488.561;0.063;0.0735;0;0.00000135
11.7;0;0;0;44146.40225;0.0884;0.0556;0;0.00000027
11;0;0;0;42128.40225;0.109;0.0615;0;0.00000027
10.6;0;0;0;41336.40225;0.1317;0.0902;0;0.00000027
10.6;0;0;0;42121.40225;0.1379;0.1074;0;0.00000027
9.8;0;0;0;44012.40225;0.1553;0.0986;0;0.00000027
9.2;1.48705E-06;0;0;47292.40225;0.1712;0.0616;0;0.00000027
9.2;4.14191E-05;2.63922E-05;0;54544.40225;0.1832;0.0329;0.0029;0.00000027
10.1;3.2297E-05;1.95553E-05;0;60904.71331;0.1956;0.0325;0.0297;0.00000227
12.3;2.37126E-05;1.5038E-05;0;63556.42661;0.1955;0.0402;0.063;0.00000454
15;2.02038E-05;1.56605E-05;0;64432.71331;0.1762;0.0508;0.1064;0.00000227
17.8;1.27411E-05;1.22374E-05;0;65582.94844;0.1867;0.0702;0.1476;0.00000135
19.7;7.39894E-06;9.67062E-06;0;66437.94844;0.2176;0.0669;0.185;0.00000135
20.8;2.59741E-06;6.6128E-06;0;65636.66175;0.2544;0.0799;0.2121;0.00000362
21.2;0;4.64921E-06;0;63605.42661;0.2809;0.0546;0.2216;0.00000454
21.6;0;5.59686E-06;0;61928.71331;0.2925;0.0478;0.246;0.00000227
22.1;0;4.87543E-06;0;61425.94844;0.3083;0.0645;0.2562;0.00000135
20.9;0;5.60762E-06;0;60309.94844;0.3081;0.037;0.2243;0.00000135
20.4;0;2.03097E-06;0;59114.66175;0.2943;0.0682;0.1628;0.00000362
19.4;0;1.27524E-06;0;58815.80905;0.2448;0.0691;0.0896;0.000005
17.6;1.01114E-06;3.02384E-06;0;58090.04418;0.1892;0.0536;0.0221;0.00000408
16.3;4.05386E-06;4.3646E-06;0;56206.66175;0.1644;0.03;0.0007;0.00000362
15.4;9.79186E-06;8.83521E-06;0;51380.94844;0.1622;0.0146;0;0.00000135
14.8;1.06474E-05;8.57253E-06;0;47535.94844;0.1734;0.0215;0;0.00000135
13.1;0;0;0;41523.23369;0.1893;0.0346;0;0.00000135
12;0;0;0;37897.07494;0.2107;0.041;0;0.00000027
11.2;0;0;0;36117.07494;0.2232;0.0461;0;0.00000027
11;0;0;0;34519.07494;0.2392;0.075;0;0.00000027
10.4;0;0;0;34227.07494;0.2509;0.1095;0;0.00000027
10.3;0;0;0;35082.07494;0.2601;0.1304;0;0.00000027
10.1;0;0;0;35491.07494;0.2709;0.197;0;0.00000027
9.6;3.79718E-05;2.49098E-05;0;36396.07494;0.2714;0.2827;0.0035;0.00000027
9.7;3.01573E-05;1.91021E-05;0;40452.71331;0.2825;0.3403;0.038;0.00000227
11.2;2.27764E-05;1.5268E-05;0;44812.42661;0.2852;0.3733;0.0978;0.00000454
13.6;2.00628E-05;1.6488E-05;0;50905.71331;0.2961;0.3948;0.1542;0.00000227
16.1;1.35939E-05;1.34492E-05;0;49872.94844;0.3319;0.4772;0.1872;0.00000135
18;8.4606E-06;1.09586E-05;0;50239.94844;0.3698;0.621;0.2146;0.00000135
20;2.45929E-06;7.03393E-06;0;48808.66175;0.388;0.6591;0.245;0.00000362
20.3;5.70255E-07;5.23716E-06;0;46752.42661;0.3956;0.716;0.2801;0.00000454
20.4;1.32108E-06;6.52613E-06;0;44303.71331;0.3999;0.619;0.3196;0.00000227
21;0;5.82894E-06;0;43345.94844;0.4032;0.613;0.317;0.00000135
19.9;2.87673E-07;6.60608E-06;0;43284.94844;0.3859;0.6629;0.2586;0.00000135
20.1;0;2.2992E-06;0;44268.66175;0.3606;0.6535;0.1777;0.00000362
18.6;0;2.06049E-06;0;46795.80905;0.3132;0.5726;0.0861;0.000005
16.2;3.59185E-06;4.43152E-06;0;47350.04418;0.2513;0.5638;0.0187;0.00000408
14.6;7.24055E-06;6.10233E-06;0;46260.66175;0.2168;0.5579;0.0006;0.00000362
13;1.4257E-05;1.13435E-05;0;44377.94844;0.1913;0.4866;0;0.00000135
11.5;1.67815E-05;1.20654E-05;0;42065.94844;0.1731;0.4901;0;0.00000135
10.2;0;0;0;37345.13646;0.1666;0.4712;0;0.00000135
9.1;0;0;0;35126.9777;0.1381;0.4752;0;0.00000027
8.3;0;0;0;33246.9777;0.1224;0.5299;0;0.00000027
7.8;0;0;0;32227.9777;0.1198;0.5863;0;0.00000027
7.4;1.23518E-06;0;0;31877.9777;0.1298;0.6176;0;0.00000027
6.6;4.40751E-06;0;0;32698.9777;0.1314;0.5794;0;0.00000027
6.8;5.92057E-06;0;0;33457.9777;0.1255;0.5288;0;0.00000027
6.9;4.57102E-05;2.92078E-05;0;33222.9777;0.12;0.5481;0.0028;0.00000027
8;3.64087E-05;2.21661E-05;0;36755.71331;0.1032;0.5686;0.0254;0.00000227
9.8;2.77213E-05;1.80617E-05;0;39671.42661;0.1013;0.5907;0.0715;0.00000454
12.7;2.43396E-05;1.84817E-05;0;42102.71331;0.1149;0.5945;0.1321;0.00000227
14.6;1.8558E-05;1.60025E-05;0;43520.94844;0.1283;0.5953;0.1965;0.00000135
16.5;1.34481E-05;1.34701E-05;0;45061.94844;0.14;0.5861;0.2462;0.00000135
17.8;8.57463E-06;1.02342E-05;0;43301.66175;0.1582;0.6044;0.2779;0.00000362
18.1;5.71036E-06;8.42711E-06;0;40614.42661;0.1798;0.617;0.2915;0.00000454
18.7;4.82152E-06;9.21492E-06;0;38932.71331;0.1959;0.5563;0.285;0.00000227
18.9;2.81109E-06;8.80646E-06;0;38892.94844;0.2006;0.5671;0.2627;0.00000135
19.2;1.41714E-06;8.05799E-06;0;38433.94844;0.1968;0.5506;0.2066;0.00000135
18.7;0;4.37865E-06;0;40586.66175;0.1918;0.5714;0.1372;0.00000362
17.3;8.12736E-07;4.02916E-06;0;42919.80905;0.175;0.556;0.068;0.000005
15.7;5.63278E-06;5.56748E-06;0;44705.04418;0.1454;0.5373;0.0206;0.00000408
13.7;9.82279E-06;7.60281E-06;0;45171.66175;0.1248;0.5366;0.0011;0.00000362
13.7;1.42074E-05;1.1169E-05;0;44890.94844;0.1198;0.5731;0;0.00000135
11.9;1.69854E-05;1.2124E-05;0;43680.94844;0.1257;0.5907;0;0.00000135
10.5;0;0;0;37511.23957;0.1334;0.5728;0;0.00000135
9.3;0;0;0;35026.08082;0.1327;0.5886;0;0.00000027
8.3;0;0;0;34174.08082;0.1257;0.6104;0;0.00000027
7.3;0;0;0;33873.08082;0.1215;0.639;0;0.00000027
6.6;2.92699E-06;0;0;35161.08082;0.1189;0.6686;0;0.00000027
6.5;4.91688E-06;0;0;36907.08082;0.1246;0.7003;0;0.00000027
6.2;7.07763E-06;5.03807E-07;0;41505.08082;0.1291;0.7257;0;0.00000027
6.2;4.71856E-05;3.02334E-05;0;49622.08082;0.1359;0.7405;0.0056;0.00000027
6.5;3.8907E-05;2.40413E-05;0;56763.71331;0.1314;0.6919;0.054;0.00000227
6.9;3.59461E-05;2.1216E-05;0;58715.42661;0.1125;0.6801;0.1486;0.00000454
9.3;3.24497E-05;2.2169E-05;0;62806.71331;0.1305;0.6638;0.2626;0.00000227
10.3;2.95888E-05;2.07422E-05;0;64292.94844;0.1668;0.6749;0.3544;0.00000135
13;2.14108E-05;1.78195E-05;0;65612.94844;0.1852;0.7027;0.3896;0.00000135
14.7;1.65159E-05;1.4221E-05;0;64716.66175;0.2003;0.7166;0.3935;0.00000362
15.2;1.3094E-05;1.22385E-05;0;64392.42661;0.2211;0.7205;0.3736;0.00000454
15.9;1.22073E-05;1.29377E-05;0;63212.71331;0.2435;0.723;0.3305;0.00000227
16.3;9.99156E-06;1.23535E-05;0;61980.94844;0.2646;0.7205;0.2734;0.00000135
16.1;9.23721E-06;1.21302E-05;0;60756.94844;0.279;0.7233;0.2192;0.00000135
15.4;6.90547E-06;8.69251E-06;0;59977.66175;0.2749;0.7223;0.1484;0.00000362
13.8;9.03677E-06;8.55106E-06;0;59942.80905;0.2634;0.7268;0.0749;0.000005
12.2;1.45002E-05;1.00984E-05;0;59638.04418;0.2388;0.7233;0.0206;0.00000408
9.7;1.97727E-05;1.27112E-05;0;58653.66175;0.2215;0.7024;0.0009;0.00000362
8.3;2.65981E-05;1.77274E-05;0;56469.94844;0.2216;0.6756;0;0.00000135
7.8;2.75848E-05;1.73928E-05;0;52440.94844;0.2246;0.6397;0;0.00000135
6.9;0;0;0;44674.8707;0.236;0.6031;0;0.00000135
6.4;2.25387E-06;0;0;41767.71194;0.2446;0.5827;0;0.00000027
5.6;4.74845E-07;0;0;39880.71194;0.2444;0.5964;0;0.00000027
4.6;8.73855E-06;1.13665E-06;0;38839.71194;0.2504;0.6298;0;0.00000027
3.9;1.18257E-05;2.76489E-06;0;39562.71194;0.2526;0.6375;0;0.00000027
3.1;1.50112E-05;4.44894E-06;0;40997.71194;0.2517;0.649;0;0.00000027
2.1;1.84807E-05;6.30073E-06;0;44829.71194;0.2565;0.6498;0;0.00000027
1.5;5.9469E-05;3.65607E-05;0;52208.71194;0.2605;0.6874;0.007;0.00000027
2.1;5.13164E-05;3.01024E-05;0;60517.71331;0.2588;0.7108;0.0604;0.00000227
3.8;4.04534E-05;2.60731E-05;0;63394.42661;0.2751;0.7247;0.1558;0.00000454
