Temperatur;Heat high [MWh/m2];Heat Medium (bu6);Heat Low;Base demand;Wind Onshore;Wind Offshore;PV;WW
-3;8.26826E-05;3.95271E-05;6.8651E-06;50447.42661;0.2902;0.8095;0.0782;0.00000454
-3.6;8.38496E-05;4.17857E-05;7.25651E-06;48969.71331;0.2849;0.8124;0.0745;0.00000227
-3.9;8.53272E-05;4.21317E-05;8.05935E-06;47548.94844;0.2857;0.7878;0.0482;0.00000135
-4.8;8.87793E-05;4.28738E-05;9.35463E-06;47572.94844;0.301;0.7699;0.0168;0.00000135
-5.9;8.73385E-05;4.00942E-05;8.05139E-06;49158.66175;0.3122;0.7805;0.0012;0.00000362
-7.4;8.85782E-05;4.00226E-05;7.67959E-06;52595.80905;0.3341;0.79;0;0.000005
-7.9;8.99168E-05;4.05314E-05;7.70589E-06;53828.04418;0.3596;0.7722;0;0.00000408
-8.5;9.14497E-05;4.1166E-05;7.76672E-06;52506.66175;0.3686;0.7673;0;0.00000362
-9;9.63654E-05;4.52268E-05;9.16277E-06;50607.94844;0.3707;0.7712;0;0.00000135
-9.6;9.70139E-05;4.49548E-05;8.78965E-06;49405.94844;0.3666;0.7741;0;0.00000135
-10;5.95837E-05;1.65744E-05;0;38161.06818;0.3507;0.7801;0;0.00000135
-10.6;7.0083E-05;2.47653E-05;0;35107.90942;0.3451;0.786;0;0.00000027
-11;6.71572E-05;2.23821E-05;0;32963.90942;0.3368;0.79;0;0.00000027
-11.3;7.37714E-05;2.6805E-05;0;31416.90942;0.319;0.7901;0;0.00000027
-11.6;7.56531E-05;2.79221E-05;0;30500.90942;0.3032;0.7909;0;0.00000027
-12;7.76273E-05;2.90904E-05;0;30618.90942;0.2878;0.7912;0;0.00000027
-12.2;7.92317E-05;3.00163E-05;0;31779.90942;0.2685;0.7934;0;0.00000027
-12.5;0.000119627;5.98401E-05;1.7654E-05;34369.90942;0.2574;0.7954;0;0.00000027
-12.6;0.000112988;5.39992E-05;1.3304E-05;50604.71331;0.2596;0.8007;0;0.00000227
-12.9;0.000111768;5.21452E-05;1.23516E-05;56686.42661;0.2543;0.8082;0;0.00000454
-13.4;0.000116428;5.62933E-05;1.37276E-05;60318.71331;0.2487;0.8118;0.0018;0.00000227
-12.3;0.000114366;5.49882E-05;1.29318E-05;61760.94844;0.2326;0.8095;0.0137;0.00000135
-10.6;0.000105479;5.29388E-05;8.71487E-06;62952.94844;0.2144;0.8106;0.0346;0.00000135
-7.9;9.92534E-05;4.8444E-05;6.8841E-06;64220.66175;0.1929;0.8118;0.0512;0.00000362
-3.7;9.07848E-05;4.27868E-05;5.32351E-06;64351.42661;0.183;0.8108;0.0571;0.00000454
